"","title","author","topic","text"
"10","Pelosi, Schumer push wider emergency coronavirus funding bill","","Politics","WASHINGTON (Reuters) - Democratic congressional leaders on Wednesday said they would back the Trump administration’s request for another $250 billion in aid for small businesses amid the coronavirus outbreak, but said the bill must include more funding for hospitals, local governments and food assistance. U.S. House Speaker Nancy Pelosi and Senate Democratic Leader Chuck Schumer, in a statement, said Congress would then have to work on passing another measure aimed at further expanding relief after the interim emergency funding bill passed. U.S. Treasury Secretary Steven Mnuchin announced the request for additional aid for small companies on Tuesday amid overwhelming demand for federal small business loans as stores shuttered and Americans sheltered at home in an effort to quell the spread of the fast-spreading disease. Senate Majority Leader Mitch McConnell, a Republican who initially had been skeptical of the need for more U.S. funding, on Tuesday said he would seek to pass the additional funds on Thursday. Pelosi, who leads the Democrat-controlled House of Representatives, and Schumer said $125 billion of the $250 billion in small business aid must be allocated to community banks that serve farmers and nonprofit organizations as well as minority, women and veteran-owned companies. The bill must also include $100 billion for hospitals and other health care facilities, $150 billion for U.S. states and local governments, and a 15% increase for federal nutrition program benefits, they said. A follow up measure must then be tackled to “provide transformational relief as the American people weather this assault on their lives and livelihoods,” Pelosi and Schumer wrote. Reporting by Susan Heavey and Doina Chiacu; Editing by Catherine Evans and Nick Zieminski"
"11","Putin proposes additional coronavirus relief measures","","World News","MOSCOW (Reuters) - President Vladimir Putin on Wednesday proposed additional measures to support businesses and workers during the coronavirus crisis and said that Russia could not simply shut its economy down due to potentially destructive consequences. Putin ordered federal and regional government to develop additional measures aimed at supporting citizens, adding that the next two to three weeks would be crucial in Russia’s fight against the spread of the virus. Reporting by Vladimir Soldatkin, Darya Korsunskaya and Alexander Marrow. Editing by Jane Merriman"
"12","Cyclone Harold flattens homes, brings injuries in Fiji","Byron Kaye","Environment","SYDNEY (Reuters) - A powerful tropical cyclone battered the South Pacific island nation of Fiji on Wednesday, witnesses said, destroying buildings and causing injuries in Suva, the capital, pressuring a population already bracing for the coronavirus outbreak. Cyclone Harold, its strength ranked in the highest category of five, passed over Fiji’s south at about midday, levelling homes and snapping communications links in the archipelago, which has adopted curbs on movement to rein in the virus. “We’ve seen reports of injuries,” Vasiti Soko, the director of the National Disaster Management Office, said by telephone. “As to the number, as well as the intensity, of the injuries, that’s yet to be ascertained.” There were no immediate reports of deaths, but about 10 houses in Suva were reported destroyed, Soko added. Flooded streets, wild winds and ruined buildings on the country’s main island home to Suva featured in unverified video images and photographs circulated on social media. Emergency officials were scrambling to establish contact with the southern island of Kapavu, after the storm severed communications with it, Soko added. The ferocious storm has cut a path through the Pacific, which is already on high alert for an outbreak of the flu-like virus that has infected 1.4 million people globally and killed 82,000. Although Fiji has just 15 infections and no deaths, Prime  Minister Frank Bainimarama has banned unnecessary gatherings of more than 20 people, among other curbs. Bainimarama urged all Fijians to stay indoors unless told to evacuate. “Our evacuation centres are safe, they are sanitised and monitored to ensure they do not surpass capacity,” he said in In a social media posting on Wednesday. “Those under quarantine due to the threat of coronavirus will not mix with others.” The cyclone, which has killed dozens in the Solomon Islands before destroying buildings in Vanuatu, was expected to make its way to Tonga within days, weather forecasters said. Reporting by Byron Kaye; Editing by Clarence Fernandez"
"13","Thailand extends foreigners' visas to prevent queues and curb coronavirus","","World News","BANGKOK (Reuters) - Thailand approved a plan on Wednesday to allow all foreigners who entered legally to receive automatic visa extensions, to prevent long queues at immigration centres and stem the spread of the coronavirus, a senior immigration official told Reuters. Thailand has closed its borders and banned entry to foreigners, except diplomats and work-permit holders to combat the COVID-19 outbreak. Those foreigners who entered the country before the ban was imposed - who had visas, received visas on arrival or under visa waiver programmes - will not need to line up at often crowded immigration centres around the country to extend their stay. The automatic visa extension has been granted until April 30, according to an interior ministry document. Police Lieutenant General Sompong Chingduang told Reuters the government could extend this deadline each month. Last week the government allowed migrant workers with expiring work permits to stay in the country, without the need to apply for extensions, until Thailand reopen its borders. The country reported 111 new coronavirus cases on Wednesday. They included 42 Thais repatriated from Indonesia who had travelled South Sulawesi province for a religious gathering last month before the event was postponed. In total, Thailand has reported 2,369 cases of the novel coronavirus, and 30 deaths. It has declared a state of emergency until the end of the month and imposed a nationwide 10 p.m. to 4 a.m. curfew. Reporting by Panu Wongcha-um and Panarat Thepgumpanat; Editing by Kim Coghill and Pravin Char"
"14","German foreign ministry restricts use of Zoom over security concerns: report","","Technology News","BERLIN (Reuters) - The German foreign ministry has restricted use of the video conferencing service Zoom (ZM.O), saying in an internal memo to employees that security and data protection weaknesses made it too risky to use, newspaper Handelsblatt reported on Wednesday. The memo added that since the system was in widespread use among the ministry’s international partners, it was currently impossible to ban its use entirely and that in crises employees could use it on private machines for professional purposes. “Based on media reports and our own findings we have concluded that Zoom’s software has critical weaknesses and serious security and data protection problems,” read the memo cited by Handelsblatt. A government source confirmed the authenticity of the memo but clarified that there was no restriction on using the desktop version of Zoom via a fixed-line connection, although confidential conversations should not be held as the application lacks end-to-end encryption. Zoom’s daily users have exploded as the coronavirus pandemic has spread around the world, forcing millions of people to work from home while schools have switched to its online app to hold classes online. The increase in usage has also exposed security flaws, including a phenomenon called ‘zoombombing’ in which malefactors gatecrash videocalls, seize control of shared screens and post offensive content. Taiwan’s cabinet has told government agencies to stop using Zoom’s conferencing app and other countries are considering a similar move, sources say. Zoom has hired former Facebook security chief Alex Stamos as an adviser and formed an advisory board to improve the video conferencing app’s privacy and security issues amid the global backlash. Reporting by Andreas Rinke and Thomas Escritt; Writing by Douglas Busvine; Editing by Michelle Martin"
"15","Zoom hires former Facebook security chief to beef up privacy, safety","","Technology News","(Reuters) - Zoom Video Communications Inc (ZM.O) has hired former Facebook security chief Alex Stamos as an adviser and formed an advisory board to improve the video conferencing app’s privacy and security issues amid a global backlash against the platform. Zoom is facing widespread criticism from users worried about the lack of end-to-end encryption of meeting sessions and “zoombombing”, where uninvited guests crash into meetings. Reporting by Akanksha Rana in Bengaluru; Editing by Saumyadeb Chakrabarty"
"16","EU to adopt unified policy on coronavirus mobile apps","Foo Yun Chee","Technology News","BRUSSELS (Reuters) - The European Union is drawing up common rules for using mobile apps to track the spread of the coronavirus, aiming to make better use of the technology and address privacy concerns. The coordinated strategy comes after several EU countries have rolled out a variety of apps, triggering criticism from some data privacy activists who worry mass data collection could become permanent if not tightly controlled. European Commissioner for values and transparency, Vera Jourova, said a joint move to harness virus-fighting technology offered an efficient solution. “I fully support a European approach for the use of mobile applications and mobile data in response to the coronavirus pandemic in line with our fundamental rights. We will ensure this approach is transparent, proportional and based on people’s trust,” she said. The Commission said a fragmented and uncoordinated approach hampered the effectiveness of measures to tackle the pandemic and also caused serious harm to the region’s single market and to fundamental rights and freedoms. Describing it as a toolbox, the EU executive said the pan-European approach would include a common scheme for using anonymous, aggregated data to trace people who come into contact with those infected and to monitor those under quarantine. There will be a methodology to monitor and assess the  effectiveness of the mobile apps, their interoperability and cross-border implications, and whether they comply with security, privacy and data protection rules. To assuage privacy concerns, there will be a strict limit on the processing of personal data, which will be destroyed when the virus is under control, the Commission said. EU countries will work with the Commission and the European Data Protection Board to develop the principles by April 15. The European Data Protection Supervisor called on Monday for a pan-European mobile app. Telecoms lobby groups ETNO and GSMA welcomed the pan-European approach. Some of their members have already agreed to share mobile phone location data with the Commission. Reporting by Foo Yun Chee, editing by Hugh Lawson and Mark Potter"
"17","Trump removes top coronavirus watchdog, widens attack on inspectors general","Lisa Lambert, Makini Brice","Politics","WASHINGTON (Reuters) - President Donald Trump removed the inspector general who was to oversee the government’s $2.3 trillion coronavirus response, a spokeswoman for the official’s office said on Tuesday, fueling concerns in Congress about oversight of the relief package. It was the Republican president’s most recent broadside against the federal watchdogs who seek to root out government waste, fraud and abuse following his removal on Friday of the intelligence community’s IG and his sharp criticism of the one who oversees the Department of Health and Human Services. Glenn Fine, acting Defense Department inspector general, was named last week to chair a committee acting as a sort of uber-watchdog over the federal government’s response to the new coronavirus, including health policy and the largest economic relief package in U.S. history. But Trump has since designated the Environmental Protection Agency’s inspector general to be the new acting Pentagon IG, a spokeswoman said, meaning Fine is not eligible for the role overseeing the coronavirus package, known as the Cares Act. Politico first reported Fine’s ouster, saying he would  resume his post as the Pentagon’s principal deputy inspector general. Congressional Democrats said Fine’s removal, less than a week after his appointment, reinforced their determination to strictly oversee the massive spending package passed last month to prop up the economy as the country grapples with the disease. House of Representatives Speaker Nancy Pelosi called it “part of a disturbing pattern of retaliation” by Trump. “We will continue to exercise our oversight to ensure that this historic investment of taxpayer dollars is being used wisely and efficiently,” she said in a statement. Trump largely shrugged off a question about Fine’s removal, saying it was his prerogative, that he had recently nominated a number of people to serve as agency IGs and suggesting he was removing those appointed under his Democratic predecessor, Barack Obama. “We have a lot of IGs in from the Obama era. And, as you know, it’s a presidential decision,” Trump told reporters. The fiscal stimulus bill is unleashing a flood of money for families and businesses, and has created three watchdog groups consisting of federal officials and lawmakers. Pelosi announced a fourth oversight body, a select House committee, last week. On Friday, the White House said Trump intended to nominate Jason Abend, a senior policy adviser at the Customs and Border Protection office, to be inspector general at the Pentagon. It also said Trump planned to nominate Brian Miller, a White House lawyer and former General Services Administration IG, to be special inspector general for pandemic recovery, responsible for overseeing the Treasury Department’s handling of funds. Reporting by Lisa Lambert and Makini Brice; Additional reporting by Susan Cornwell, Susan Heavey and Patricia Zengerle; Editing by Leslie Adler and Peter Cooney"
"18","White House looks to bolster small business lending program","Pete Schroeder","Politics","WASHINGTON (Reuters) - The White House hopes Congress will nearly double the size of its program to support ailing small businesses by the end of the week, as some of the nation’s largest lenders still sit on the sidelines and others remain unable to access the system. U.S. President Donald Trump said the administration will seek another $250 billion on top of the $350 billion of funds granted by Congress last month which launched on Friday. Treasury Secretary Steven Mnuchin said he hoped Congress would sign off on the funds by Friday, as small businesses scramble for the first-come, first-serve lifeline. “We want to make sure that every single small business can participate. We want to assure the workers that if you don’t get the loan this week, there will be plenty of money for you next week,” he said during a White House call with bank CEOs. Executives at Bank of America and JPMorgan Chase said they had received hundreds of thousands of applications. But as of Tuesday, Citigroup Inc (C.N) said it was only accepting a limited number of applications, while Wells Fargo & Co (WFC.N), which has capped lending under the program at $10 billion, said it had yet to distribute any funds to clients. The SBA has also yet to launch a promised online system for taking on lenders that have never previously registered with the agency, according to the Independent Community Bankers of America (ICBA). “That’s an issue if you’re a non-SBA lender, which is more than half of the lenders out there,” said Paul Merski, an executive vice president at the ICBA. A representative for the SBA did not respond to a request for comment, but on Monday the agency defended its progress, saying the program was unprecedented and pointing out that it had authorized billions in loans in a very short time. Launched on Friday as part of a $2.3 trillion congressionally approved economic relief package to combat the disruption caused by the novel coronavirus, the program got off to a rocky start as the administration rushed to get funds out the door in days without establishing key terms and paperwork. Speed is critical, since half of small businesses have less than a two-week cash capital buffer. But the resulting confusion, bottlenecks and technology glitches have sparked widespread frustrations among bankers and businesses alike and left the U.S. Treasury and the SBA scrambling to fix the problems on the fly. “You couldn’t have scripted a better #trainwreck for our nations community banks and the small biz customers we serve!” Brad Bolton, president and chief executive of Community Spirit Bank in Alabama, tweeted on Monday night. The SBA overnight authorized 30 loans out of hundreds Bank of the West [BNP.UL] has been trying to process, Cynthia Blankenship, who runs the lender’s operation in Grapevine, Texas, told Reuters. “We are continuing to be inundated with requests,” she said, adding that many of those are from companies turned away by their big lenders, including Wells Fargo, which has said it is constrained by a regulatory cap on its balance sheet. Multiple small business owners took to Twitter over the past 24 hours to flag a document they had received from Wells, one of the biggest small business lenders in the country, advising potential applicants to reach out to other banks “to improve your chances of receiving a loan before the funds run out.” Prominent lawmakers including Democratic Senators Elizabeth Warren, Ed Markey and Chris Van Hollen also jumped into the fray on Tuesday, raising worries that less savvy small businesses without existing bank lending relationships will be shut out of the program altogether. Quickly deepening the program’s pockets could help ease small business worries that they may miss out, said officials. “We want to make sure there’s a geographic dispersion to all areas of the program,” said the ICBA’s Merski. Reporting by Pete Schroeder; additional reporting by Imani Moise and Ann Saphir; Editing by Michelle Price, Bernadette Baum and Jonathan Oatis"
"19","Trump administration seeks $250 billion more in aid for small U.S. businesses: Mnuchin","Richard Cowan, David Lawder","Politics","WASHINGTON (Reuters) - The Trump administration on Tuesday asked Congress for an additional $250 billion in emergency economic aid for small U.S. businesses reeling from the coronavirus pandemic, as Senate Majority Leader Mitch McConnell pushed for passage as soon as Thursday. In a posting on Twitter, Treasury Secretary Steven Mnuchin said he had consulted with congressional leaders on the need for the second round of funding. If approved by Congress, the aid would add to the $349 billion in forgivable loans to small businesses enacted on March 27 as part of a $2.3 trillion economic stimulus in response to the virus outbreak. Shortly before Mnuchin’s announcement, McConnell, a Republican, said in a statement: “It is quickly becoming clear that Congress will need to provide more funding or this crucial program may run dry.” He added that he would work with Mnuchin and Senate Democratic Leader Chuck Schumer on the initiative with the goal of winning Senate approval on Thursday. It was not immediately clear whether the top two Democrats in Congress, Schumer and House of Representatives Speaker Nancy Pelosi, would embrace this timetable as they have been pushing for a broader set of measures that would comprise a fourth coronavirus-response bill since early March. Quick Senate action would highlight the alarm over the crisis for small enterprises that have been shuttered because of the coronavirus outbreak. McConnell’s backing also marked a change in attitude. He warned in an April 1 interview with the Washington Post that Pelosi should not undertake a “premature” fourth stimulus bill related to the pandemic. But just days into the launch of the small business loans, with coronavirus cases raging in many parts of the United States, pressure built for more aid. “There is a critical need to supplement the (loan) fund to ensure America’s more than 30 million small businesses will be able to access this critical lifeline,” Senate Small Business Committee Chairman Marco Rubio said in a statement. Restaurants and hotels are among businesses hardest hit by the coronavirus outbreak, with many of them shuttered. The loan program aims to encourage small enterprises to keep their employees on staff and to help them pay rent, mortgages, utilities and other overhead costs. Meanwhile, congressional Democrats were crafting a series of additional measures they plan to push in coming weeks. Democratic senators on Tuesday called for up to $25,000 in temporary, federally paid bonuses to medical workers and others in essential services, such as pharmacists, grocery store workers and truckers whose jobs put them at greater risk of coronavirus infection. Their plan also contained $15,000 incentives to help recruit first responders and health and home-care workers. Pelosi on Monday consulted with rank-and-file members of her Democratic majority about House committees working on a bill that could top $1 trillion to augment the $2.3 trillion measure enacted last month. A House Democratic aide on Tuesday said potential provisions include additional funding and greater flexibility for a “stabilization” fund helping state and local governments cope with the epidemic. The aide said legislation also would increase funding for federal agencies, such as the Labor Department and Small Business Administration which now must deal with an explosive growth in unemployment and loan programs, respectively. In an interview on CNN, Pelosi said she wanted to ensure that a range of financial institutions, including community and minority-owned banks, could participate in the loan program and that the lending did not just go to businesses that had existing relationships with lenders. Some small restaurant operators have voiced concerns the loan program was structured so that large companies and large franchisees could gain advantage. Reporting by Richard Cowan, Lisa Lambert David Lawder, Diane Bartz, David Morgan, Susan Cornwell and Patricia Zengerle; Editing by Doina Chiacu, Alistair Bell, Tom Brown and Cynthia Osterman"
"20","Germany tightens rules on foreign takeovers","","Deals","BERLIN (Reuters) - Germany’s government agreed on Wednesday to tighten rules to protect domestic firms from unwanted takeovers by investors from non-European Union countries. The move comes at a time when Europe’s biggest economy, and the EU as a whole, is reconsidering relations with China in the face of increased investment in critical sectors by Chinese state-owned enterprises. In future, transactions which have implications for German security should be provisionally put on hold pending a final decision. In addition, a review of a potential deal can be undertaken if there is “likely harm” to the public system or security. Previously, an “actual danger” was needed. The security of EU partners should also be considered. “As the current situation shows, we in Germany and Europe need to have our own competencies and technologies in certain areas,” Economy Minister Peter Altmaier told reporters. The economy ministry also plans further measures requiring investors in artificial intelligence, robotics, semi-conductors, biotechnology and quantum technology to make public any purchases of 10% or more and allow Germany to screen them. Previously, only investments in areas such as energy, water, telecommunications and defence could be screened. German officials have described the Chinese takeover in 2016 of Bavarian robotics firm Kuka (KU2G.DE) as a wake-up call that underlined the need to shield strategic parts of the economy. An attempt by China’s State Grid in 2018 to buy a stake in power grid operator 50Hertz also focused German minds. After Berlin failed to find an alternative private investor in Europe, German state-owned bank KfW stepped in to keep the Chinese out. However, some companies in export-oriented Germany criticised the move, saying it sent the wrong signal, especially at this difficult time for the global economy. “Like no other country, Germany relies on open markets for exports and investments. How can we demand that of our trading partners if we seal ourselves off more?” said Carl Martin Welcker, president of the VDMA engineering association. Reporting by Christian Kraemer and Andreas Rinke; Writing by Madeline Chambers; Editing by Paul Carrel, Kirsten Donovan"
"21","Tiffany says Australian regulators seek more time to review LVMH deal","","Business News","(Reuters) - Tiffany & Co (TIF.N) said on Wednesday Australian regulators have sought more time to review LVMH’s (LVMH.PA) multi-billion dollar purchase of the U.S. jeweler due to the coronavirus outbreak, potentially delaying closure of the deal. The France-based owner of luxury brands such as Louis Vuitton offered to buy Tiffany for $16.2 billion last November, and the deal is expected to close mid-2020. Tiffany said it still aimed to close the deal by that time, subject to the review by the Australian Foreign Investment Review Board (FIRB). The FIRB is experiencing delays in processing transactions and requested extending the statutory review deadline of April 8 to until Oct. 6, which LVMH has accepted, according to a regulatory filing www.sec.gov/ix?doc=/Archives/edgar/data/98246/000156459020015787/tif-8k_20200407.htm. The deal was cleared by the U.S. Securities and Exchange Commission on March 26, while a draft filing has been submitted in Europe and pre-filing discussions are going on with the European Commission, Tiffany said. Tiffany’s shareholders approved the deal in February. Both LVMH and Tiffany have temporarily closed several outlets across the globe, including Tiffany’s iconic flagship Fifth Avenue store in New York, to curb the spread of the virus. Reporting by Nivedita Balu in Bengaluru; Editing by Sriraj Kalluvila"
"22","Sabre wins court fight with Justice Department over Farelogix acquisition","","Deals","WASHINGTON (Reuters) - A U.S. judge has ruled that travel technology firm Sabre Corp (SABR.O) may purchase Farelogix after the Justice Department sued to stop the planned $360 million acquisition. Judge Leonard Stark of the U.S. District Court in Delaware said in a brief order on Tuesday that he had ruled for the defendant, which is to say the companies. The opinion was sealed. Sabre in a statement said it welcomed the decision and was waiting to hear from a British antitrust enforcer this week. “This federal court ruling supports our view that the Sabre-Farelogix acquisition is not anti-competitive. We appreciate the consideration the court gave to these important issues,” said Kristin Hays, a spokeswoman for Sabre. The Justice Department did not immediately respond to a request for comment. In its lawsuit filed in August 2019, the government had said that Sabre, the dominant provider of booking services in the United States with over 50% of airline bookings through travel agencies, “operated outdated technology and resisted innovation” while competitor Farelogix is “an innovative technology company that has stepped in to address the needs of airlines and their customers.” Reporting by Diane Bartz; editing by Jason Neely"
